regimen,param,delta,css_max,css_min,frac_in_window,in_window,rel_change_css_min,elasticity_css_min,rel_change_css_max
R4,ka,0.1,8.427242525764493,1.7199569314142111,0.7145713571607099,False,4.715469327697527e-06,4.7154693276975266e-05,0.033248301916669366
R1,ka,0.2,11.553372991044442,2.293278614934706,0.8632841789552612,False,5.895613058401411e-06,2.9478065292007056e-05,0.06240294389685155
R2,ka,0.2,8.228347692993884,4.290022539309677,1.0,True,0.0012868535002439024,0.006434267501219512,0.051914072330795064
R3,ka,0.2,20.04726738115941,0.5380762529415101,0.35916020994751313,False,5.1482081879131076e-11,2.5741040939565534e-10,0.06670077969422827
R4,ka,0.2,8.66502974328333,1.7199589612010295,0.7155711072231942,False,5.895613058465962e-06,2.947806529232981e-05,0.06240294389685138
R1,ke,-0.2,12.796101258466146,3.7168467710329343,0.844288927768058,False,0.6207662949968771,-3.103831474984385,0.176679369560254
R2,ke,-0.2,9.71225841785492,6.017140431440734,1.0,True,0.40439439524154064,-2.021971976207703,0.24161759870134453
R3,ke,-0.2,20.839737211817614,1.233759033912144,0.44663834041489625,False,1.292907422007662,-6.464537110038309,0.10886753340559463
R4,ke,-0.2,9.59707594384961,2.7876350782747004,0.9527618095476131,False,0.6207662949968771,-3.103831474984385,0.17667936956025407
R1,ke,-0.1,11.735308483287161,2.905671881515062,0.981504623844039,False,0.2670457890764749,-2.670457890764749,0.07913301940880935
R2,ke,-0.1,8.66456594417384,5.048128236698221,1.0,True,0.178227944462654,-1.78227944462654,0.10768032506394454
R3,ke,-0.1,19.73368320705291,0.8128944764376722,0.40064983754061484,False,0.5107421523169968,-5.107421523169968,0.05001518975025701
R4,ke,-0.1,8.80148136246537,2.1792539111362963,0.8172956760809797,False,0.26704578907647486,-2.6704578907647485,0.07913301940880929
R1,ke,0.1,10.158504117562815,1.8231002936362626,0.7680579855036241,False,-0.20501982181433817,-2.0501982181433815,-0.065863736204766
R2,ke,0.1,7.129195658225331,3.6700681020623462,1.0,True,-0.14340987526910703,-1.4340987526910702,-0.08860180474967133
R3,ke,0.1,17.9692937944147,0.35724673681272834,0.33441639590102473,False,-0.3360667101026041,-3.3606671010260407,-0.04386671077820153
R4,ke,0.1,7.618878088172111,1.3673252202271968,0.6313421644588852,False,-0.20501982181433812,-2.050198218143381,-0.06586373620476606
R1,ke,0.2,9.549367940930482,1.457470189680851,0.6915771057235691,False,-0.3644562972551721,-1.8222814862758603,-0.12187751398116929
R2,ke,0.2,6.547935520981732,3.167314680345735,1.0,True,-0.2607520074151332,-1.303760037075666,-0.16291024927153866
R3,ke,0.2,17.228338405185507,0.23766214943163957,0.31067233191702076,False,-0.5583113951886124,-2.791556975943062,-0.08329241785248456
R4,ke,0.2,7.162025955697862,1.0931026422606382,0.5648587853036741,False,-0.36445629725517203,-1.82228148627586,-0.12187751398116924
